model,nSims,tpb,mem,endTimeOfSim,rtol,atol,pysbTime,cupSODATime
tyson,100,32,1,1.39156389236,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.856338
tyson,100,64,1,1.38013291359,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.853039
tyson,100,1,2,0.783060073853,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.256667
tyson,100,2,2,0.807130098343,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.275866
tyson,100,4,2,0.841922044754,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.318618
tyson,100,8,2,0.9368019104,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.415359
tyson,100,16,2,1.08684420586,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.558295
tyson,100,32,2,1.37606692314,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.837369
tyson,100,64,2,1.36142706871,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.83593
tyson,1000,1,0,3.77280712128,1e-06,1e-06,100,20000,100.0,1,0,K20c,2.198835
tyson,1000,2,0,2.69557309151,1e-06,1e-06,100,20000,100.0,1,0,K20c,1.296282
tyson,1000,4,0,2.32425189018,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.770214
tyson,1000,8,0,2.11287498474,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.521931
tyson,1000,16,0,2.36536407471,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.722461
tyson,1000,32,0,2.72141003609,1e-06,1e-06,100,20000,100.0,1,0,K20c,1.117573
tyson,1000,64,0,2.72533798218,1e-06,1e-06,100,20000,100.0,1,0,K20c,1.117845
tyson,1000,1,1,3.39625906944,1e-06,1e-06,100,20000,100.0,1,0,K20c,1.976123
tyson,1000,2,1,2.752161026,1e-06,1e-06,100,20000,100.0,1,0,K20c,1.164717
tyson,1000,4,1,2.277094841,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.695779
tyson,1000,8,1,2.06364393234,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.470025
tyson,1000,16,1,2.26052904129,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.654165
